quote_currency,ask_rate,ts,base_currency
USDT,70.5819207829,2023-02-01T01:59:59.999Z,RUB1
USDT,70.5979981236,2023-02-01T02:59:59.999Z,RUB1
USDT,70.5938517865,2023-02-01T03:59:59.999Z,RUB1
USDT,70.1223050432,2023-02-01T04:59:59.999Z,RUB1
USDT,70.182539831,2023-02-01T05:59:59.999Z,RUB1
USDT,70.2746332806,2023-02-01T06:59:59.999Z,RUB1
USDT,70.0864436074,2023-02-01T07:59:59.999Z,RUB1
USDT,70.1203573208,2023-02-01T08:59:59.999Z,RUB1
USDT,70.1214657144,2023-02-01T09:59:59.999Z,RUB1
USDT,70.1218431101,2023-02-01T10:59:59.999Z,RUB1
USDT,70.1549690077,2023-02-01T11:59:59.999Z,RUB1
USDT,70.5928261205,2023-02-01T12:59:59.999Z,RUB1
USDT,70.1822884955,2023-02-01T13:59:59.999Z,RUB1
USDT,70.1650397972,2023-02-01T14:59:59.999Z,RUB1
USDT,70.161010875,2023-02-01T15:59:59.999Z,RUB1
USDT,70.128336482,2023-02-01T16:59:59.999Z,RUB1
USDT,70.0776436778,2023-02-01T17:59:59.999Z,RUB1
USDT,69.8890199133,2023-02-01T18:59:59.999Z,RUB1
USDT,70.0853609038,2023-02-01T19:59:59.999Z,RUB1
USDT,69.8895127955,2023-02-01T20:59:59.999Z,RUB1
USDT,69.8890137813,2023-02-01T21:59:59.999Z,RUB1
USDT,70.1831637601,2023-02-01T22:59:59.999Z,RUB1
USDT,69.9369109769,2023-02-01T23:59:59.999Z,RUB1
USDT,70.1377298554,2023-02-02T00:59:59.999Z,RUB1
USDT,69.8233325945,2023-02-02T01:59:59.999Z,RUB1
USDT,69.8206833004,2023-02-02T02:59:59.999Z,RUB1
USDT,69.8211875141,2023-02-02T03:59:59.999Z,RUB1
USDT,70.1406716053,2023-02-02T04:59:59.999Z,RUB1
USDT,69.993125475,2023-02-02T05:59:59.999Z,RUB1
USDT,69.9806157878,2023-02-02T06:59:59.999Z,RUB1
USDT,70.1452181594,2023-02-02T07:59:59.999Z,RUB1
USDT,70.0348471849,2023-02-02T08:59:59.999Z,RUB1
USDT,70.094391522,2023-02-02T09:59:59.999Z,RUB1
USDT,70.094062022,2023-02-02T10:59:59.999Z,RUB1
USDT,70.0818978525,2023-02-02T11:59:59.999Z,RUB1
USDT,70.1399404155,2023-02-02T12:59:59.999Z,RUB1
USDT,70.0811710384,2023-02-02T13:59:59.999Z,RUB1
USDT,70.0742246276,2023-02-02T14:59:59.999Z,RUB1
USDT,70.075112593,2023-02-02T15:59:59.999Z,RUB1
USDT,70.0737641363,2023-02-02T16:59:59.999Z,RUB1
USDT,70.0767071041,2023-02-02T17:59:59.999Z,RUB1
USDT,70.073404665,2023-02-02T18:59:59.999Z,RUB1
USDT,70.0743389112,2023-02-02T19:59:59.999Z,RUB1
USDT,70.0724567674,2023-02-02T20:59:59.999Z,RUB1
USDT,70.0710784461,2023-02-02T21:59:59.999Z,RUB1
USDT,70.08728266,2023-02-02T22:59:59.999Z,RUB1
USDT,70.0869007314,2023-02-02T23:59:59.999Z,RUB1
USDT,70.0752498313,2023-02-03T00:59:59.999Z,RUB1
USDT,70.0768595183,2023-02-03T01:59:59.999Z,RUB1
USDT,70.0873554598,2023-02-03T02:59:59.999Z,RUB1
USDT,70.3271739214,2023-02-03T03:59:59.999Z,RUB1
USDT,70.3350662317,2023-02-03T04:59:59.999Z,RUB1
USDT,70.2290658172,2023-02-03T05:59:59.999Z,RUB1
USDT,70.3751228899,2023-02-03T06:59:59.999Z,RUB1
USDT,70.3742447212,2023-02-03T07:59:59.999Z,RUB1
USDT,70.3219554574,2023-02-03T08:59:59.999Z,RUB1
USDT,70.372862665,2023-02-03T09:59:59.999Z,RUB1
USDT,70.3744007698,2023-02-03T10:59:59.999Z,RUB1
USDT,70.3774550063,2023-02-03T11:59:59.999Z,RUB1
USDT,70.0732045352,2023-02-03T12:59:59.999Z,RUB1
USDT,70.3814142571,2023-02-03T13:59:59.999Z,RUB1
USDT,70.7963462615,2023-02-03T14:59:59.999Z,RUB1
USDT,70.6797810067,2023-02-03T15:59:59.999Z,RUB1
USDT,70.6352455704,2023-02-03T16:59:59.999Z,RUB1
USDT,70.5107898994,2023-02-03T17:59:59.999Z,RUB1
USDT,70.5080499589,2023-02-03T18:59:59.999Z,RUB1
USDT,70.5081415945,2023-02-03T19:59:59.999Z,RUB1
USDT,70.5102870958,2023-02-03T20:59:59.999Z,RUB1
USDT,70.5074912981,2023-02-03T21:59:59.999Z,RUB1
USDT,70.6582617133,2023-02-03T22:59:59.999Z,RUB1
